GPS TOW [s],IMU Temp [C],Acc X [g],Acc Y [g],Acc Z [g],Gyr X [deg/s],Gyr Y [deg/s],Gyr Z [deg/s],Mag X [uT],Mag Y [uT],Mag Z [uT]
179480.486,,-0.05029,-0.01953,-0.95752,-0.03052,0.67139,0.12207,,,
179480.491,,-0.05054,-0.02295,-0.96021,0.15259,0.54932,0.06104,,,
179480.496,,-0.05151,-0.02222,-0.95874,0.21362,0.42725,0.06104,,,
179480.501,,-0.05005,-0.01953,-0.95850,0.03052,0.54932,0.06104,,,
179480.506,,-0.05127,-0.02246,-0.95850,0.00000,0.57983,0.03052,,,
179480.511,,-0.05249,-0.02026,-0.95703,0.06104,0.57983,0.09155,,,
179480.516,,-0.05005,-0.02271,-0.95923,0.12207,0.48828,0.18311,1.6,42.6,22.2
179480.521,,-0.05054,-0.01880,-0.96118,0.00000,0.51880,0.21362,,,
179480.526,,-0.04932,-0.02197,-0.95776,0.06104,0.64087,0.18311,,,
179480.531,,-0.05151,-0.02588,-0.95361,0.18311,0.45776,0.12207,,,
179480.536,,-0.05005,-0.02075,-0.95825,0.03052,0.51880,0.06104,,,
179480.540,,-0.05151,-0.02173,-0.95801,0.06104,0.45776,0.27466,,,
179480.545,,-0.05103,-0.01978,-0.95874,0.00000,0.45776,0.09155,,,
179480.550,,-0.05225,-0.02051,-0.95483,0.21362,0.67139,0.06104,,,
179480.555,,-0.05225,-0.02075,-0.96118,0.15259,0.61035,0.15259,1.1,42.1,21.8
179480.560,,-0.05029,-0.02246,-0.96167,0.03052,0.48828,0.21362,,,
179480.565,,-0.04761,-0.02319,-0.95508,0.00000,0.39673,0.24414,,,
179480.570,,-0.05127,-0.02271,-0.96021,0.03052,0.48828,0.12207,,,
179480.575,,-0.05103,-0.02271,-0.95898,-0.06104,0.54932,0.06104,,,
179480.580,,-0.04907,-0.02295,-0.95923,-0.03052,0.51880,0.21362,,,
179480.585,,-0.04956,-0.02246,-0.95728,0.12207,0.48828,0.18311,,,
179480.590,,-0.04810,-0.02344,-0.95776,0.06104,0.67139,0.00000,,,
179480.595,,-0.05029,-0.02344,-0.95947,0.15259,0.51880,0.03052,0.1,41.6,21.7
179480.600,,-0.05273,-0.02319,-0.95679,0.09155,0.42725,0.12207,,,
179480.605,,-0.05225,-0.02246,-0.95630,0.06104,0.51880,0.12207,,,
179480.610,,-0.05273,-0.02319,-0.96289,0.06104,0.45776,0.15259,,,
179480.615,,-0.04956,-0.02271,-0.95703,0.15259,0.48828,0.12207,,,
179480.620,,-0.05200,-0.02075,-0.95532,0.18311,0.42725,0.09155,,,
179480.625,,-0.04883,-0.02319,-0.95630,0.09155,0.42725,0.06104,,,
179480.630,,-0.05103,-0.02368,-0.95483,0.12207,0.45776,0.18311,,,
179480.635,,-0.05103,-0.02197,-0.95825,0.06104,0.51880,0.06104,-0.4,41.1,21.9
179480.640,,-0.05054,-0.02148,-0.95654,0.18311,0.42725,0.15259,,,
179480.645,,-0.05127,-0.02368,-0.96021,0.15259,0.39673,0.12207,,,
179480.650,,-0.04810,-0.02319,-0.95776,0.03052,0.48828,0.09155,,,
179480.655,,-0.04932,-0.02319,-0.95532,-0.09155,0.51880,0.18311,,,
179480.660,,-0.05103,-0.02100,-0.95728,0.00000,0.36621,0.15259,,,
179480.665,,-0.04956,-0.02002,-0.96118,0.15259,0.57983,0.06104,,,
179480.670,,-0.05078,-0.02344,-0.95581,0.18311,0.61035,0.03052,,,
179480.674,,-0.05200,-0.02344,-0.95679,0.09155,0.51880,0.00000,0.1,42.1,21.6
179480.679,,-0.05249,-0.02466,-0.95825,0.09155,0.42725,0.09155,,,
179480.684,,-0.05176,-0.02148,-0.95435,0.06104,0.30518,0.15259,,,
179480.689,,-0.04932,-0.02295,-0.95923,0.09155,0.45776,0.12207,,,
179480.694,,-0.05029,-0.02246,-0.95630,0.03052,0.57983,0.15259,,,
179480.699,,-0.05029,-0.02466,-0.95825,-0.03052,0.39673,0.21362,,,
179480.704,,-0.05054,-0.02319,-0.95947,0.00000,0.33569,0.15259,,,
179480.709,,-0.04810,-0.02197,-0.95996,0.15259,0.36621,0.06104,,,
179480.714,,-0.04956,-0.02124,-0.95874,0.15259,0.48828,0.06104,1.1,42.6,22.2
179480.719,,-0.05127,-0.02002,-0.95801,0.03052,0.70190,0.21362,,,
179480.724,,-0.05200,-0.02466,-0.95776,0.03052,0.67139,0.21362,,,
179480.729,,-0.05029,-0.02124,-0.95874,-0.03052,0.42725,0.21362,,,
179480.734,,-0.04858,-0.02002,-0.95850,-0.06104,0.48828,0.18311,,,
