PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
P194,333480.012,1963353.181,17.75117801,-64.57063238,-42.398,-1.117, 
P195,333479.339,1963354.019,17.75118553,-64.57063880,-42.390,-1.109, 
P196,333478.499,1963355.006,17.75119439,-64.57064679,-42.360,-1.079, 
P197,333477.533,1963355.817,17.75120164,-64.57065597,-42.363,-1.082, 
P198,333476.592,1963356.674,17.75120932,-64.57066491,-42.288,-1.007, 
P199,333475.813,1963357.575,17.75121740,-64.57067233,-42.210,-0.929, 
P200,333475.204,1963358.414,17.75122494,-64.57067813,-42.126,-0.845, 
P201,333474.402,1963359.258,17.75123250,-64.57068576,-42.547,-1.266, 
P202,333473.453,1963360.025,17.75123935,-64.57069478,-42.300,-1.019, 
P203,333472.941,1963361.123,17.75124923,-64.57069969,-42.107,-0.826, 
P204,333472.297,1963362.055,17.75125761,-64.57070583,-41.925,-0.644, 
P205,333471.840,1963362.883,17.75126506,-64.57071021,-41.766,-0.485, 
P206,333471.231,1963363.814,17.75127342,-64.57071603,-41.703,-0.422, 
P207,333470.354,1963364.900,17.75128316,-64.57072438,-41.540,-0.259, 
P208,333469.274,1963366.054,17.75129352,-64.57073466,-41.383,-0.102, 
P209,333468.536,1963367.273,17.75130447,-64.57074171,-41.202,0.079, 
P210,333467.831,1963368.266,17.75131339,-64.57074844,-40.986,0.295, 
P211,333467.287,1963369.210,17.75132188,-64.57075364,-40.785,0.497, 
P212,333466.708,1963369.989,17.75132888,-64.57075916,-40.546,0.735, 
P213,333466.156,1963370.773,17.75133591,-64.57076442,-40.370,0.911, 
P214,333465.611,1963371.626,17.75134359,-64.57076963,-40.320,0.961, 
P215,333465.054,1963372.357,17.75135015,-64.57077494,-40.345,0.936, 
P216,333464.539,1963373.286,17.75135850,-64.57077987,-40.366,0.915, 
P217,333464.069,1963374.215,17.75136686,-64.57078438,-40.321,0.960, 
P218,333440.350,1963361.849,17.75125334,-64.57100706,-40.109,1.172, 
P219,333441.104,1963360.563,17.75124177,-64.57099985,-40.072,1.209, 
P220,333441.539,1963359.233,17.75122978,-64.57099564,-40.033,1.247, 
P221,333442.005,1963358.235,17.75122081,-64.57099117,-40.069,1.212, 
P222,333442.522,1963357.152,17.75121106,-64.57098621,-40.250,1.030, 
P223,333443.184,1963356.164,17.75120218,-64.57097989,-40.474,0.806, 
P224,333443.705,1963355.190,17.75119342,-64.57097490,-40.739,0.541, 
P225,333444.230,1963354.112,17.75118372,-64.57096986,-40.969,0.312, 
P226,333444.883,1963352.889,17.75117272,-64.57096361,-41.231,0.049, 
P227,333445.622,1963351.650,17.75116158,-64.57095655,-41.423,-0.143, 
P228,333446.301,1963350.353,17.75114991,-64.57095004,-41.697,-0.417, 
P229,333446.968,1963349.158,17.75113917,-64.57094366,-41.905,-0.624, 
P230,333447.690,1963348.131,17.75112994,-64.57093677,-41.955,-0.675, 
P231,333448.284,1963347.032,17.75112005,-64.57093108,-42.091,-0.810, 
P232,333449.228,1963345.942,17.75111028,-64.57092209,-42.088,-0.808, 
P233,333449.963,1963344.953,17.75110140,-64.57091509,-42.158,-0.878, 
P234,333450.841,1963344.054,17.75109334,-64.57090673,-42.234,-0.954, 
P235,333451.444,1963343.279,17.75108639,-64.57090099,-42.446,-1.165, 
P236,333451.841,1963342.626,17.75108052,-64.57089719,-42.271,-0.991, 
P237,333452.378,1963341.391,17.75106939,-64.57089203,-42.339,-1.058, 
P238,333452.687,1963340.688,17.75106307,-64.57088906,-42.514,-1.233, 
P239,333412.173,1963338.752,17.75104251,-64.57127094,-40.061,1.218, 
P240,333412.881,1963337.688,17.75103295,-64.57126418,-40.103,1.176, 
P241,333413.397,1963336.892,17.75102580,-64.57125925,-40.220,1.059, 
P242,333414.192,1963335.814,17.75101612,-64.57125167,-40.554,0.725, 
P243,333414.927,1963334.683,17.75100596,-64.57124465,-40.745,0.534, 
P244,333415.734,1963333.293,17.75099346,-64.57123693,-40.957,0.323, 
P245,333416.681,1963331.839,17.75098039,-64.57122788,-41.128,0.151, 
P246,333417.575,1963330.454,17.75096794,-64.57121935,-41.287,-0.007, 
P247,333418.236,1963328.907,17.75095402,-64.57121299,-41.311,-0.032, 
P248,333419.193,1963327.571,17.75094202,-64.57120386,-41.636,-0.356, 
P249,333420.245,1963326.264,17.75093029,-64.57119383,-41.706,-0.427, 
P250,333421.055,1963325.176,17.75092052,-64.57118611,-41.993,-0.714, 
P251,333421.923,1963324.139,17.75091122,-64.57117785,-42.006,-0.727, 
P252,333422.726,1963323.036,17.75090131,-64.57117019,-42.145,-0.866, 
P253,333423.499,1963321.914,17.75089123,-64.57116281,-42.305,-1.025, 
P254,333424.070,1963321.071,17.75088366,-64.57115736,-42.468,-1.188, 
P255,333424.572,1963320.225,17.75087605,-64.57115256,-42.612,-1.333, 
P256,333385.758,1963315.858,17.75083366,-64.57151821,-40.320,0.959, 
P257,333386.604,1963315.048,17.75082641,-64.57151017,-40.342,0.936, 
P258,333387.406,1963314.337,17.75082005,-64.57150255,-40.371,0.908, 
P259,333388.226,1963313.493,17.75081248,-64.57149475,-40.281,0.998, 
P260,333389.103,1963312.610,17.75080457,-64.57148641,-40.223,1.056, 
P261,333390.036,1963311.635,17.75079583,-64.57147753,-40.216,1.062, 
P262,333390.740,1963310.752,17.75078790,-64.57147083,-40.564,0.715, 
P263,333391.532,1963309.597,17.75077753,-64.57146327,-40.929,0.350, 
P264,333392.473,1963308.430,17.75076705,-64.57145430,-41.179,0.099, 
P265,333393.363,1963307.309,17.75075699,-64.57144582,-41.387,-0.108, 
P266,333394.148,1963305.897,17.75074430,-64.57143831,-41.601,-0.323, 
P267,333394.980,1963305.047,17.75073667,-64.57143040,-41.979,-0.700, 
P268,333395.976,1963304.362,17.75073056,-64.57142095,-41.854,-0.576, 
P269,333396.781,1963303.697,17.75072461,-64.57141331,-42.006,-0.727, 
P270,333397.485,1963302.681,17.75071549,-64.57140659,-42.164,-0.885, 
P271,333398.414,1963301.855,17.75070809,-64.57139777,-42.240,-0.962, 
P272,333398.269,1963302.002,17.75070941,-64.57139914,-42.234,-0.955, 
P273,333399.198,1963300.857,17.75069913,-64.57139030,-42.386,-1.108, 
P274,333399.978,1963300.234,17.75069356,-64.57138289,-42.373,-1.094, 
P275,333400.405,1963299.528,17.75068722,-64.57137881,-42.174,-0.895, 
P276,333363.139,1963294.716,17.75064092,-64.57172983,-40.375,0.902, 
