PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
P195,327629.575,1967677.903,17.78980305,-64.62615159,-42.664,-1.073, 
P196,327629.164,1967679.395,17.78981649,-64.62615560,-42.552,-0.960, 
P197,327628.893,1967680.858,17.78982969,-64.62615827,-42.383,-0.792, 
P198,327628.367,1967682.157,17.78984139,-64.62616334,-42.552,-0.960, 
P199,327627.673,1967683.355,17.78985216,-64.62616998,-42.461,-0.869, 
P200,327627.101,1967684.511,17.78986256,-64.62617547,-42.324,-0.732, 
P201,327626.982,1967685.311,17.78986977,-64.62617666,-42.316,-0.724, 
P202,327626.750,1967685.928,17.78987533,-64.62617890,-41.940,-0.348, 
P203,327627.523,1967687.224,17.78988710,-64.62617172,-42.233,-0.640, 
P204,327627.112,1967688.433,17.78989800,-64.62617569,-42.097,-0.505, 
P205,327625.908,1967689.102,17.78990394,-64.62618710,-41.935,-0.342, 
P206,327625.682,1967689.640,17.78990879,-64.62618927,-41.653,-0.061, 
P207,327624.501,1967689.135,17.78990413,-64.62620037,-41.607,-0.014, 
P208,327624.492,1967687.771,17.78989181,-64.62620035,-42.146,-0.554, 
P209,327623.725,1967688.242,17.78989600,-64.62620762,-41.746,-0.153, 
P210,327623.731,1967686.576,17.78988095,-64.62620743,-42.114,-0.521, 
P211,327622.679,1967686.466,17.78987987,-64.62621734,-42.191,-0.599, 
P212,327621.463,1967686.956,17.78988420,-64.62622885,-42.397,-0.804, 
P213,327619.698,1967685.414,17.78987014,-64.62624536,-42.438,-0.846, 
P214,327618.703,1967685.591,17.78987165,-64.62625476,-42.083,-0.491, 
P215,327617.675,1967684.617,17.78986277,-64.62626438,-41.921,-0.329, 
P216,327616.489,1967684.823,17.78986454,-64.62627558,-42.103,-0.511, 
P217,327616.233,1967684.043,17.78985747,-64.62627793,-42.644,-1.052, 
P218,327615.063,1967686.448,17.78987911,-64.62628916,-42.582,-0.989, 
P219,327612.904,1967685.409,17.78986955,-64.62630944,-42.157,-0.564, 
P220,327611.328,1967686.388,17.78987828,-64.62632439,-42.448,-0.855, 
P221,327609.250,1967685.020,17.78986575,-64.62634387,-42.282,-0.689, 
P222,327608.704,1967683.765,17.78985437,-64.62634892,-42.326,-0.733, 
P223,327607.251,1967683.832,17.78985487,-64.62636263,-42.458,-0.866, 
P224,327607.648,1967682.723,17.78984488,-64.62635879,-42.916,-1.323, 
P225,327606.173,1967682.960,17.78984690,-64.62637272,-42.595,-1.003, 
P226,327605.557,1967685.074,17.78986596,-64.62637870,-42.624,-1.032, 
P227,327605.585,1967685.022,17.78986549,-64.62637844,-42.624,-1.031, 
P228,327608.204,1967686.706,17.78988090,-64.62635387,-42.616,-1.024, 
P229,327611.595,1967688.167,17.78989437,-64.62632202,-42.647,-1.055, 
P230,327611.596,1967688.943,17.78990138,-64.62632206,-42.879,-1.286, 
P231,327616.230,1967688.201,17.78989504,-64.62627831,-42.627,-1.034, 
P232,327617.799,1967688.813,17.78990070,-64.62626355,-42.760,-1.168, 
P233,327619.316,1967688.940,17.78990197,-64.62624925,-42.499,-0.907, 
